name	kind	return_type	explicit_argument_count	parameters
agedFilm	colorEffect	half4	5	float2,half4,float2,float,float,float,float
barrelDistortion	distortionEffect	float2	3	float2,float4,float,float
blackHole	colorEffect	half4	6	float2,half4,float4,float,float,float,float,float
blobDisplacement	distortionEffect	float2	5	float2,float4,float,float,float,float
blockDisplacement	distortionEffect	float2	5	float2,float4,float,float,float,float
boxBlurSimulation	colorEffect	half4	2	float2,half4,float4,float
breathFrost	colorEffect	half4	4	float2,half4,float2,float2,float,float
breathingDisplacement	distortionEffect	float2	6	float2,float4,float,float,float,float,float
bulge	layerEffect	half4	4	float2,layer,float2,float2,float,float
bumpMap	colorEffect	half4	3	float2,half4,float2,float,float
burnDissolve	colorEffect	half4	4	float2,half4,float4,float,float,float
caustics	colorEffect	half4	4	float2,half4,float4,float,float,float
chromaticAberration	colorEffect	half4	4	float2,half4,float4,float,float,float
chromaticSplit	distortionEffect	float2	5	float2,float4,float,float,float,float
circularBlurVignette	colorEffect	half4	5	float2,half4,float4,float,float,float,float
cloudsVolumetric	colorEffect	half4	7	float2,half4,float4,float,float,float,float,float,float
colorBalance	colorEffect	half4	4	float2,half4,float4,float,float,float
colorGrading	colorEffect	half4	7	float2,half4,float4,float,float,float,float,float,float
colorMap	colorEffect	half4	5	float2,half4,float4,float,float,float,float
concentricRipple	distortionEffect	float2	7	float2,float4,float,float,float,float,float,float
crossProcess	colorEffect	half4	1	float2,half4,float
crtEffect	colorEffect	half4	6	float2,half4,float2,float,float,float,float,float
crtLayerEffect	layerEffect	half4	4	float2,layer,float2,float,float,float
crtSimple	colorEffect	half4	2	float2,half4,float2,float
curves	colorEffect	half4	4	float2,half4,float4,float,float,float
dampedRipple	distortionEffect	float2	7	float2,float4,float,float,float,float,float,float
dataStreamHologram	colorEffect	half4	4	float2,half4,float4,float,float,float
deboss	layerEffect	half4	2	float2,layer,float2,float
depthOfFieldBlur	colorEffect	half4	4	float2,half4,float4,float,float,float
diamondPixelate	distortionEffect	float2	2	float2,float4,float
digitalCorruption	colorEffect	half4	5	float2,half4,float4,float,float,float,float
directionalChromatic	colorEffect	half4	3	float2,half4,float4,float,float
directionalDissolve	colorEffect	half4	4	float2,half4,float4,float,float,float
displacementMap	distortionEffect	float2	4	float2,float4,float,float,float
dissolve	colorEffect	half4	4	float2,half4,float4,float,float,float
dotMatrix	colorEffect	half4	3	float2,half4,float4,float,float
earthquakeDisplacement	distortionEffect	float2	5	float2,float4,float,float,float,float
electricArc	colorEffect	half4	7	float2,half4,float4,float,float,float,float,float,float
electricField	colorEffect	half4	4	float2,half4,float4,float,float,float
electricNeon	colorEffect	half4	4	float2,half4,float4,float,float,float
embers	colorEffect	half4	5	float2,half4,float4,float,float,float,float
emboss	layerEffect	half4	3	float2,layer,float2,float,float
embossColor	layerEffect	half4	4	float2,layer,float2,float,float,float
embossMetallic	layerEffect	half4	4	float2,layer,float2,float,float,float3
fadedMemory	colorEffect	half4	3	float2,half4,float2,float,float3
fbmDisplacement	distortionEffect	float2	5	float2,float4,float,float,float,float
fbmNoise	colorEffect	half4	6	float2,half4,float4,float,float,float,float,float
filmEmulation	colorEffect	half4	3	float2,half4,float4,float,float
filmGrain	colorEffect	half4	4	float2,half4,float4,float,float,float
fire	colorEffect	half4	5	float2,half4,float4,float,float,float,float
fireball	colorEffect	half4	6	float2,half4,float4,float,float,float,float,float
flagWave	distortionEffect	float2	5	float2,float4,float,float,float,float
fractalTerrain	colorEffect	half4	7	float2,half4,float4,float,float,float,float,float,float
frostBlur	colorEffect	half4	4	float2,half4,float4,float,float,float
frostedGlass	layerEffect	half4	4	float2,layer,float2,float,float,float
frozenSurface	colorEffect	half4	3	float2,half4,float2,float,float
glitch	distortionEffect	float2	4	float2,float4,float,float,float
glitchColor	colorEffect	half4	3	float2,half4,float4,float,float
glitchyHologram	colorEffect	half4	4	float2,half4,float4,float,float,float
gravityDrip	distortionEffect	float2	5	float2,float4,float,float,float,float
heatDistortion	distortionEffect	float2	5	float2,float4,float,float,float,float
hexPixelate	distortionEffect	float2	2	float2,float4,float
hologram	colorEffect	half4	5	float2,half4,float4,float,float,float,float
iceCrystals	colorEffect	half4	4	float2,half4,float2,float,float,float
infiniteGrid	colorEffect	half4	7	float2,half4,float4,float,float,float,float,float,float
invert	colorEffect	half4	1	float2,half4,float
invertAnimated	colorEffect	half4	4	float2,half4,float2,float,float,float
invertChannels	colorEffect	half4	3	float2,half4,float,float,float
invertHue	colorEffect	half4	1	float2,half4,float
invertLuminance	colorEffect	half4	1	float2,half4,float
invertRegion	colorEffect	half4	4	float2,half4,float2,float2,float,float
invertSmart	colorEffect	half4	1	float2,half4,float
jellyWave	distortionEffect	float2	5	float2,float4,float,float,float,float
kaleidoscope	layerEffect	half4	4	float2,layer,float2,float2,float,float
kaleidoscopeAnimated	layerEffect	half4	6	float2,layer,float2,float2,float,float,float,float
kaleidoscopeDistort	distortionEffect	float2	3	float2,float4,float,float
kaleidoscopeHex	layerEffect	half4	4	float2,layer,float2,float2,float,float
kaleidoscopeRadial	layerEffect	half4	5	float2,layer,float2,float2,float,float,float
kaleidoscopeSquare	layerEffect	half4	4	float2,layer,float2,float2,float,float
kaleidoscopeTint	colorEffect	half4	3	float2,half4,float2,float,float
kaleidoscopeTriangle	layerEffect	half4	4	float2,layer,float2,float2,float,float
lava	colorEffect	half4	5	float2,half4,float4,float,float,float,float
ledMatrix	colorEffect	half4	4	float2,half4,float4,float,float,float
lensBokeh	colorEffect	half4	3	float2,half4,float4,float,float
lensChromatic	colorEffect	half4	4	float2,half4,float4,float,float,float
lensDistortion	distortionEffect	float2	6	float2,float4,float,float,float,float,float
lensWarp	distortionEffect	float2	5	float2,float4,float,float,float,float
levels	colorEffect	half4	6	float2,half4,float4,float,float,float,float,float
lightning	colorEffect	half4	5	float2,half4,float4,float,float,float,float
liquidWave	distortionEffect	float2	5	float2,float4,float,float,float,float
magneticDisplacement	distortionEffect	float2	5	float2,float4,float,float,float,float
magnify	distortionEffect	float2	5	float2,float4,float,float,float,float
metaballs	colorEffect	half4	7	float2,half4,float4,float,float,float,float,float,float
mosaicBrick	layerEffect	half4	5	float2,layer,float2,float,float,float,float3
mosaicCircular	layerEffect	half4	4	float2,layer,float2,float2,float,float
mosaicDiamond	layerEffect	half4	4	float2,layer,float2,float,float,float3
mosaicHexagon	layerEffect	half4	4	float2,layer,float2,float,float,float3
mosaicSimple	colorEffect	half4	2	float2,half4,float2,float
mosaicSquare	layerEffect	half4	4	float2,layer,float2,float,float,float3
mosaicVoronoi	layerEffect	half4	5	float2,layer,float2,float,float,float3,float
motionBlur	colorEffect	half4	3	float2,half4,float4,float,float
multiRipple	distortionEffect	float2	6	float2,float4,float,float,float,float,float
multiWave	distortionEffect	float2	7	float2,float4,float,float,float,float,float,float
negativeFilm	colorEffect	half4	2	float2,half4,float2,float
neonColorShift	colorEffect	half4	3	float2,half4,float2,float,float
neonElectric	colorEffect	half4	5	float2,half4,float2,float,float3,float3,float
neonGlow	colorEffect	half4	3	float2,half4,float3,float,float
neonMultiGlow	layerEffect	half4	6	float2,layer,float2,float3,float3,float,float,float
neonOutline	layerEffect	half4	4	float2,layer,float2,float3,float,float
neonTint	colorEffect	half4	2	float2,half4,float3,float
noise	colorEffect	half4	4	float2,half4,float4,float,float,float
noiseDisplacement	distortionEffect	float2	5	float2,float4,float,float,float,float
noiseVoronoi	colorEffect	half4	4	float2,half4,float4,float,float,float
oceanWaves	colorEffect	half4	5	float2,half4,float4,float,float,float,float
particlesConfetti	colorEffect	half4	4	float2,half4,float2,float,float,float
particlesDust	colorEffect	half4	5	float2,half4,float2,float,float,float,float3
particlesFalling	colorEffect	half4	6	float2,half4,float2,float,float,float,float,float3
particlesFireflies	colorEffect	half4	5	float2,half4,float2,float,float,float3,float
particlesRising	colorEffect	half4	6	float2,half4,float2,float,float,float,float,float3
particlesSparkle	colorEffect	half4	5	float2,half4,float2,float,float,float3,float
particlesStarField	colorEffect	half4	4	float2,half4,float2,float,float,float
perlinDistort	distortionEffect	float2	4	float2,float4,float,float,float
pinch	distortionEffect	float2	6	float2,float4,float,float,float,float,float
pinchDistortion	distortionEffect	float2	5	float2,float4,float,float,float,float
pincushionDistortion	distortionEffect	float2	3	float2,float4,float,float
pixelDissolve	colorEffect	half4	3	float2,half4,float4,float,float
pixelGlitch	colorEffect	half4	4	float2,half4,float4,float,float,float
pixelate	distortionEffect	float2	2	float2,float4,float
pixelateTransition	distortionEffect	float2	3	float2,float4,float,float
plasma	colorEffect	half4	4	float2,half4,float4,float,float,float
polaroid	colorEffect	half4	3	float2,half4,float2,float,float
poolWater	colorEffect	half4	4	float2,half4,float4,float,float,float
posterize	colorEffect	half4	1	float2,half4,float
posterizeAnimated	colorEffect	half4	4	float2,half4,float,float,float,float
posterizeChannels	colorEffect	half4	3	float2,half4,float,float,float
posterizeDuotone	colorEffect	half4	3	float2,half4,float3,float3,float
posterizeLightness	colorEffect	half4	2	float2,half4,float,float
posterizePalette	colorEffect	half4	5	float2,half4,float3,float3,float3,float3,float
posterizePopArt	colorEffect	half4	4	float2,half4,float2,float,float,float
posterizeSmooth	colorEffect	half4	3	float2,half4,float2,float,float
posterizeTritone	colorEffect	half4	4	float2,half4,float3,float3,float3,float
projectionHologram	colorEffect	half4	4	float2,half4,float4,float,float,float
pulsingChromatic	colorEffect	half4	5	float2,half4,float4,float,float,float,float
radialBlur	colorEffect	half4	4	float2,half4,float4,float,float,float
radialDisplacement	distortionEffect	float2	6	float2,float4,float,float,float,float,float
radialDissolve	colorEffect	half4	5	float2,half4,float4,float,float,float,float
radialWave	distortionEffect	float2	6	float2,float4,float,float,float,float,float
rainDrops	colorEffect	half4	5	float2,half4,float4,float,float,float,float
raymarching	colorEffect	half4	6	float2,half4,float4,float,float,float,float,float
retroHologram	colorEffect	half4	4	float2,half4,float4,float,float,float
rgbSplit	colorEffect	half4	3	float2,half4,float4,float,float
ripple	distortionEffect	float2	7	float2,float4,float,float,float,float,float,float
scanlineGlitch	distortionEffect	float2	4	float2,float4,float,float,float
scanlineJitter	distortionEffect	float2	5	float2,float4,float,float,float,float
scanlines	colorEffect	half4	4	float2,half4,float2,float,float,float
scanlinesDiagonal	colorEffect	half4	4	float2,half4,float2,float,float,float
